instrument_token,exchange_token,tradingsymbol,tick_size,lot_size,instrument_type,segment,exchange
7741953,30242,1050SCL32-N1,0.01,1,EQ,NSE,NSE
193537025,756004,1050UCL28-NH,0.01,1,EQ,NSE,NSE
4876033,19047,105IIFL29-N7,0.01,1,EQ,NSE,NSE
2044417,7986,1060ECL29-NS,0.01,1,EQ,NSE,NSE
5919489,23123,1065NFL27-NC,0.01,1,EQ,NSE,NSE
5969665,23319,1075SCFL34-Z6,0.01,1,EQ,NSE,NSE
5386753,21042,1075SCL33-YK,0.01,1,EQ,NSE,NSE
4838913,18902,1075SCL33A-N2,0.01,1,EQ,NSE,NSE
5150209,20118,1075SCL33B-NW,0.01,1,EQ,NSE,NSE
6136321,23970,1075SCL34-ZR,0.01,1,EQ,NSE,NSE
6545921,25570,1075SCL34C-N1,0.01,1,EQ,NSE,NSE
7406337,28931,1075SCL34T-N1,0.01,1,EQ,NSE,NSE
7739393,30232,1075SCL35-N1,0.01,1,EQ,NSE,NSE
194359041,759215,1075WCA28-N0,0.01,1,EQ,NSE,NSE
193486081,755805,1075WCA28B-N0,0.01,1,EQ,NSE,NSE
194302721,758995,1075WCAP28-N0,0.01,1,EQ,NSE,NSE
195663361,764310,1075WCAP29-N0,0.01,1,EQ,NSE,NSE
5894145,23024,1077IIFL30-N7,0.01,1,EQ,NSE,NSE
194684673,760487,1096GIPL28-N0,0.01,1,EQ,NSE,NSE
3191041,12465,10CAGL27-N5,0.01,1,EQ,NSE,NSE
195694337,764431,10CHI36-N0,0.01,1,EQ,NSE,NSE
1334273,5212,10IIFL28-N4,0.01,1,EQ,NSE,NSE
734977,2871,10IIFL28A-NE,0.01,1,EQ,NSE,NSE
4875521,19045,10IIFL29-N6,0.01,1,EQ,NSE,NSE
6179585,24139,10IIFLSF27-NB,0.01,1,EQ,NSE,NSE
5317377,20771,10ISFL26-N3,0.01,1,EQ,NSE,NSE
195380737,763206,10MWL29-N0,0.01,1,EQ,NSE,NSE
195926273,765337,10PGL28-N0,0.01,1,EQ,NSE,NSE
4830209,18868,10SCL30A-BV,0.01,1,EQ,NSE,NSE
5967105,23309,10SCL31-Z1,0.01,1,EQ,NSE,NSE
6134017,23961,10SCL31A-ZO,0.01,1,EQ,NSE,NSE
193534977,755996,10UCL26-ND,0.01,1,EQ,NSE,NSE
195416577,763346,1116AFL27-N0,0.01,1,EQ,NSE,NSE
195532289,763798,1116AFL28-N0,0.01,1,EQ,NSE,NSE
195685121,764395,1116AFL28A-N0,0.01,1,EQ,NSE,NSE
5920001,23125,1119NFL27-ND,0.01,1,EQ,NSE,NSE
194020353,757892,111ESFB31-N0,0.01,1,EQ,NSE,NSE
195339265,763044,1125AFIL29-N0,0.01,1,EQ,NSE,NSE
194572033,760047,1125VCCL27-N0,0.01,1,EQ,NSE,NSE
194379777,759296,113ESFB31-N0,0.01,1,EQ,NSE,NSE
194506497,759791,113ESFB31B-N0,0.01,1,EQ,NSE,NSE
194677505,760459,1150AFIL28-N0,0.01,1,EQ,NSE,NSE
194724097,760641,1150AFIL29-N0,0.01,1,EQ,NSE,NSE
195624705,764159,115AFIL28A-N0,0.01,1,EQ,NSE,NSE
193976065,757719,115VCCL27-N0,0.01,1,EQ,NSE,NSE
194572545,760049,115VCCL28-N0,0.01,1,EQ,NSE,NSE
194675457,760451,115VCCL28A-N0,0.01,1,EQ,NSE,NSE
194969345,761599,115VCCL31-N0,0.01,1,EQ,NSE,NSE
195425281,763380,115VCCL31A-N0,0.01,1,EQ,NSE,NSE
195712769,764503,115VCCL31B-N0,0.01,1,EQ,NSE,NSE
194242561,758760,1165ESF32-N0,0.01,1,EQ,NSE,NSE
194934017,761461,1165ESFB32-N0,0.01,1,EQ,NSE,NSE
194135041,758340,116VCCL26A-N0,0.01,1,EQ,NSE,NSE
194183937,758531,116VCCL27-N0,0.01,1,EQ,NSE,NSE
194404353,759392,116VCCL27A-N0,0.01,1,EQ,NSE,NSE
194702081,760555,1175IFL28-N0,0.01,1,EQ,NSE,NSE
195458561,763510,1175IFL28A-N0,0.01,1,EQ,NSE,NSE
194486273,759712,1180IFL28-N0,0.01,1,EQ,NSE,NSE
194917633,761397,1180IFL28A-N0,0.01,1,EQ,NSE,NSE
195611905,764109,1180IFL28B-N0,0.01,1,EQ,NSE,NSE
6608385,25814,1180VCCL26-N0,0.01,1,EQ,NSE,NSE
194135553,758342,118VCCL27-N0,0.01,1,EQ,NSE,NSE
194184449,758533,118VCCL27A-N0,0.01,1,EQ,NSE,NSE
194404865,759394,118VCCL27B-N0,0.01,1,EQ,NSE,NSE
195402753,763292,11MCS27-N0,0.01,1,EQ,NSE,NSE
195668737,764331,11RCPL28-N0,0.01,1,EQ,NSE,NSE
195954945,765449,11RCPL28A-N0,0.01,1,EQ,NSE,NSE
194571521,760045,11VCCL27-N0,0.01,1,EQ,NSE,NSE
194417665,759444,1215DHPL27-N0,0.01,1,EQ,NSE,NSE
194804737,760956,1225DCCL27-N0,0.01,1,EQ,NSE,NSE
194533633,759897,1225IFL27-N0,0.01,1,EQ,NSE,NSE
194727937,760656,1225IFL28-N0,0.01,1,EQ,NSE,NSE
194702849,760558,125VCCL31-N0,0.01,1,EQ,NSE,NSE
195511553,763717,1275DCC28-N0,0.01,1,EQ,NSE,NSE
195004673,761737,1275DCCL28-N0,0.01,1,EQ,NSE,NSE
195709185,764489,1295DCCL28-N0,0.01,1,EQ,NSE,NSE
195680257,764376,129DCCL28-N0,0.01,1,EQ,NSE,NSE
194418177,759446,12AFIL27-N0,0.01,1,EQ,NSE,NSE
194329089,759098,12AFIL27A-N0,0.01,1,EQ,NSE,NSE
194376449,759283,12AFIL28-N0,0.01,1,EQ,NSE,NSE
194507009,759793,12DCCL27-N0,0.01,1,EQ,NSE,NSE
194755329,760763,12DCCL29-N0,0.01,1,EQ,NSE,NSE
194717185,760614,12DCCL29A-N0,0.01,1,EQ,NSE,NSE
6518785,25464,12VCCL27-N0,0.01,1,EQ,NSE,NSE
6607873,25812,12VCCL27A-N0,0.01,1,EQ,NSE,NSE
7615745,29749,12VCCL27B-N0,0.01,1,EQ,NSE,NSE
194134529,758338,12VCCL27D-N0,0.01,1,EQ,NSE,NSE
194375937,759281,12VCCL28-N0,0.01,1,EQ,NSE,NSE
6519297,25466,12VCCL29-N0,0.01,1,EQ,NSE,NSE
7494145,29274,12VCCL29A-N0,0.01,1,EQ,NSE,NSE
193770497,756916,12VCCL29B-N0,0.01,1,EQ,NSE,NSE
193976577,757721,12VCCL29C-N0,0.01,1,EQ,NSE,NSE
195475201,763575,12VPT28-N0,0.01,1,EQ,NSE,NSE
193126913,754402,12VPT28A-N0,0.01,1,EQ,NSE,NSE
195708673,764487,1305DCCL29-N0,0.01,1,EQ,NSE,NSE
194971905,761609,13DCCL29-N0,0.01,1,EQ,NSE,NSE
194756353,760767,14DCCL31-N0,0.01,1,EQ,NSE,NSE
194755841,760765,14DCCL31A-N0,0.01,1,EQ,NSE,NSE
7748865,30269,14RARL30-N0,0.01,1,EQ,NSE,NSE
6321409,24693,1650RARL27-N0,0.01,1,EQ,NSE,NSE
194364673,759237,165RARL28-N0,0.01,1,EQ,NSE,NSE
194787073,760887,182D030926-TB,0.01,100,EQ,NSE,NSE
195693057,764426,182D040227-TB,0.01,100,EQ,NSE,NSE
195401729,763288,182D051126-TB,0.01,100,EQ,NSE,NSE
195596289,764048,182D070127-TB,0.01,100,EQ,NSE,NSE
194991617,761686,182D081026-TB,0.01,100,EQ,NSE,NSE
194914049,761383,182D100926-TB,0.01,100,EQ,NSE,NSE
8119809,31718,182D101226-TB,0.01,100,EQ,NSE,NSE
195714817,764511,182D110227-TB,0.01,100,EQ,NSE,NSE
195423489,763373,182D121126-TB,0.01,100,EQ,NSE,NSE
195623169,764153,182D140127-TB,0.01,100,EQ,NSE,NSE
195182081,762430,182D151026-TB,0.01,100,EQ,NSE,NSE
192969473,753787,182D171226-TB,0.01,100,EQ,NSE,NSE
195923201,765325,182D180227-TB,0.01,100,EQ,NSE,NSE
194938881,761480,182D180926-TB,0.01,100,EQ,NSE,NSE
195462657,763526,182D191126-TB,0.01,100,EQ,NSE,NSE
195648769,764253,182D210127-TB,0.01,100,EQ,NSE,NSE
195347969,763078,182D221026-TB,0.01,100,EQ,NSE,NSE
193481217,755786,182D241226-TB,0.01,100,EQ,NSE,NSE
195953409,765443,182D260227-TB,0.01,100,EQ,NSE,NSE
195488001,763625,182D271126-TB,0.01,100,EQ,NSE,NSE
195668225,764329,182D280127-TB,0.01,100,EQ,NSE,NSE
195380225,763204,182D291026-TB,0.01,100,EQ,NSE,NSE
195528193,763782,182D311226-TB,0.01,100,EQ,NSE,NSE
5916417,23111,18MVL27-N0,0.01,1,EQ,NSE,NSE
193006849,753933,18MVL31-N0,0.01,1,EQ,NSE,NSE
193544961,756035,18PVL29-N0,0.01,1,EQ,NSE,NSE
193545473,756037,18PVL29A-N0,0.01,1,EQ,NSE,NSE
4331777,16921,20MICRONS,0.01,1,EQ,NSE,NSE
1025,4,21STCENMGM,0.01,1,EQ,NSE,NSE
3343617,13061,360ONE,0.1,1,EQ,NSE,NSE
195528449,763783,364D010727-TB,0.01,100,EQ,NSE,NSE
194391297,759341,364D021026-TB,0.01,100,EQ,NSE,NSE
194288641,758940,364D030926-TB,0.01,100,EQ,NSE,NSE
194585601,760100,364D031226-TB,0.01,100,EQ,NSE,NSE
194760961,760785,364D040227-TB,0.01,100,EQ,NSE,NSE
194787329,760888,364D040327-TB,0.01,100,EQ,NSE,NSE
195693313,764427,364D050827-TB,0.01,100,EQ,NSE,NSE
195401985,763289,364D060527-TB,0.01,100,EQ,NSE,NSE
194457601,759600,364D061126-TB,0.01,100,EQ,NSE,NSE
194711809,760593,364D070127-TB,0.01,100,EQ,NSE,NSE
194991873,761687,364D080427-TB,0.01,100,EQ,NSE,NSE
195596545,764049,364D080727-TB,0.01,100,EQ,NSE,NSE
194414849,759433,364D081026-TB,0.01,100,EQ,NSE,NSE
8136705,31784,364D100627-TB,0.01,100,EQ,NSE,NSE
194275329,758888,364D100926-TB,0.01,100,EQ,NSE,NSE
194636545,760299,364D101226-TB,0.01,100,EQ,NSE,NSE
194800897,760941,364D110227-TB,0.01,100,EQ,NSE,NSE
194914305,761384,364D110327-TB,0.01,100,EQ,NSE,NSE
195715073,764512,364D120827-TB,0.01,100,EQ,NSE,NSE
194516737,759831,364D121126-TB,0.01,100,EQ,NSE,NSE
195423745,763374,364D130527-TB,0.01,100,EQ,NSE,NSE
194742785,760714,364D150127-TB,0.01,100,EQ,NSE,NSE
195182337,762431,364D150427-TB,0.01,100,EQ,NSE,NSE
195623425,764154,364D150727-TB,0.01,100,EQ,NSE,NSE
194425857,759476,364D151026-TB,0.01,100,EQ,NSE,NSE
192972545,753799,364D170627-TB,0.01,100,EQ,NSE,NSE
194354945,759199,364D170926-TB,0.01,100,EQ,NSE,NSE
194660097,760391,364D171226-TB,0.01,100,EQ,NSE,NSE
194830081,761055,364D190227-TB,0.01,100,EQ,NSE,NSE
194939137,761481,364D190327-TB,0.01,100,EQ,NSE,NSE
195923457,765326,364D190827-TB,0.01,100,EQ,NSE,NSE
194525697,759866,364D191126-TB,0.01,100,EQ,NSE,NSE
195462913,763527,364D200527-TB,0.01,100,EQ,NSE,NSE
194759681,760780,364D210127-TB,0.01,100,EQ,NSE,NSE
195348225,763079,364D220427-TB,0.01,100,EQ,NSE,NSE
195649025,764254,364D220727-TB,0.01,100,EQ,NSE,NSE
194261761,758835,364D231026-TB,0.01,100,EQ,NSE,NSE
193485313,755802,364D240627-TB,0.01,100,EQ,NSE,NSE
194316033,759047,364D240926-TB,0.01,100,EQ,NSE,NSE
194602497,760166,364D250227-TB,0.01,100,EQ,NSE,NSE
194694657,760526,364D251226-TB,0.01,100,EQ,NSE,NSE
194567681,760030,364D261126-TB,0.01,100,EQ,NSE,NSE
195953665,765444,364D270827-TB,0.01,100,EQ,NSE,NSE
194754817,760761,364D280127-TB,0.01,100,EQ,NSE,NSE
195488257,763626,364D280527-TB,0.01,100,EQ,NSE,NSE
195380481,763205,364D290427-TB,0.01,100,EQ,NSE,NSE
195668481,764330,364D290727-TB,0.01,100,EQ,NSE,NSE
194433025,759504,364D291026-TB,0.01,100,EQ,NSE,NSE
195204609,762518,3BBLACKBIO,0.1,1,EQ,NSE,NSE
1597441,6240,3IINFOLTD-BE,0.01,1,EQ,NSE,NSE
121345,474,3MINDIA,5,1,EQ,NSE,NSE
664321,2595,3PLAND,0.01,1,EQ,NSE,NSE
1713921,6695,574GS2026-GS,0.01,1,EQ,NSE,NSE
214017,836,575PY26-SG,0.01,100,EQ,NSE,NSE
5706753,22292,577GS2030-GS,0.01,1,EQ,NSE,NSE
4827393,18857,579GS2030-GS,0.01,1,EQ,NSE,NSE
466945,1824,582RJ27-SG,0.01,100,EQ,NSE,NSE
343297,1341,585GS2030-GS,0.01,1,EQ,NSE,NSE
435969,1703,588CG26-SG,0.01,100,EQ,NSE,NSE
193984769,757753,591GS2028-GS,0.01,1,EQ,NSE,NSE
370945,1449,593CG26-SG,0.01,100,EQ,NSE,NSE
1505281,5880,596PY26-SG,0.01,100,EQ,NSE,NSE
483073,1887,597CG27-SG,0.01,100,EQ,NSE,NSE
113921,445,5PAISA,0.05,1,EQ,NSE,NSE
1757697,6866,601GS2028-GS,0.01,1,EQ,NSE,NSE
194043649,757983,601GS2030-GS,0.01,1,EQ,NSE,NSE
1534465,5994,601RJ26-SG,0.01,100,EQ,NSE,NSE
194719233,760622,603GS2029-GS,0.01,1,EQ,NSE,NSE
1801729,7038,604AS26-SG,0.01,100,EQ,NSE,NSE
1589505,6209,604GJ26-SG,0.01,100,EQ,NSE,NSE
1788673,6987,607RJ26-SG,0.01,100,EQ,NSE,NSE
1613825,6304,609AS26-SG,0.01,100,EQ,NSE,NSE
5614081,21930,609KA28-SG,0.01,100,EQ,NSE,NSE
193900801,757425,60TN28-SG,0.01,100,EQ,NSE,NSE
1283073,5012,610GS2031-GS,0.01,1,EQ,NSE,NSE
5613825,21929,612KA27-SG,0.01,100,EQ,NSE,NSE
1758209,6868,613GS2028-GS,0.01,1,EQ,NSE,NSE
194030337,757931,613OR28-SG,0.01,100,EQ,NSE,NSE
193978369,757728,614TN28-SG,0.01,100,EQ,NSE,NSE
437505,1709,617KL27-SG,0.01,100,EQ,NSE,NSE
4857089,18973,619GS2034-GS,0.01,1,EQ,NSE,NSE
515329,2013,61CG27-SG,0.01,100,EQ,NSE,NSE
193935105,757559,61GJ28-SG,0.01,100,EQ,NSE,NSE
214273,837,61RJ27-SG,0.01,100,EQ,NSE,NSE
195911681,765280,620GS2029-GS,0.01,1,EQ,NSE,NSE
193796609,757018,622AS30-SG,0.01,100,EQ,NSE,NSE
243969,953,622GS2035-GS,0.01,1,EQ,NSE,NSE
348417,1361,622KL27-SG,0.01,100,EQ,NSE,NSE
1504513,5877,623RJ27-SG,0.01,100,EQ,NSE,NSE
5618433,21947,624MH28-SG,0.01,100,EQ,NSE,NSE
193906945,757449,627PFCL27-N0,0.01,1,EQ,NSE,NSE
194284289,758923,627TN27-SG,0.01,100,EQ,NSE,NSE
194099201,758200,627TN29-SG,0.01,100,EQ,NSE,NSE
1414145,5524,628GJ27-SG,0.01,100,EQ,NSE,NSE
194046465,757994,628GS2032-GS,0.01,1,EQ,NSE,NSE
1920001,7500,629RJ26A-SG,0.01,100,EQ,NSE,NSE
5701633,22272,62RJ27-SG,0.01,100,EQ,NSE,NSE
5709313,22302,632KA28-SG,0.01,100,EQ,NSE,NSE
1918721,7495,633AS26A-SG,0.01,100,EQ,NSE,NSE
193763841,756890,633GS2035-GS,0.01,1,EQ,NSE,NSE
5666561,22135,633TN30-SG,0.01,100,EQ,NSE,NSE
1614593,6307,634RJ27-SG,0.01,100,EQ,NSE,NSE
5266433,20572,635AP27-SG,0.01,100,EQ,NSE,NSE
194134017,758336,635LT28-N0,0.01,1,EQ,NSE,NSE
310273,1212,635MH28-SG,0.01,100,EQ,NSE,NSE
194821121,761020,636GS2031-GS,0.01,1,EQ,NSE,NSE
5700353,22267,636HP28-SG,0.01,100,EQ,NSE,NSE
194123265,758294,637RECL27-N0,0.01,1,EQ,NSE,NSE
1399553,5467,638MH27-SG,0.01,100,EQ,NSE,NSE
934401,3650,639BR27-SG,0.01,100,EQ,NSE,NSE
3038209,11868,63MOONS,0.05,1,EQ,NSE,NSE
1831169,7153,63PY27-SG,0.01,100,EQ,NSE,NSE
194160641,758440,640NHPCL27-N0,0.01,1,EQ,NSE,NSE
193893889,757398,640TN32-SG,0.01,100,EQ,NSE,NSE
5386241,21040,641GA30-SG,0.01,100,EQ,NSE,NSE
5658369,22103,641TN30-SG,0.01,100,EQ,NSE,NSE
218113,852,642GA30-SG,0.01,100,EQ,NSE,NSE
193742593,756807,642JK31-SG,0.01,100,EQ,NSE,NSE
193901057,757426,642JK31A-SG,0.01,100,EQ,NSE,NSE
5611265,21919,642MN30-SG,0.01,100,EQ,NSE,NSE
5708289,22298,642PN30-SG,0.01,100,EQ,NSE,NSE
193737473,756787,642TN31-SG,0.01,100,EQ,NSE,NSE
217345,849,642UP30-SG,0.01,100,EQ,NSE,NSE
249857,976,643AP30-SG,0.01,100,EQ,NSE,NSE
1385985,5414,643MH27-SG,0.01,100,EQ,NSE,NSE
2013953,7867,643RJ27-SG,0.01,100,EQ,NSE,NSE
5747457,22451,643UK30-SG,0.01,100,EQ,NSE,NSE
5273857,20601,644GJ29-SG,0.01,100,EQ,NSE,NSE
5718273,22337,644GJ29A-SG,0.01,100,EQ,NSE,NSE
5719553,22342,644MH28-SG,0.01,100,EQ,NSE,NSE
218369,853,644UK30-SG,0.01,100,EQ,NSE,NSE
5699073,22262,644UP30-SG,0.01,100,EQ,NSE,NSE
945921,3695,645BR27-SG,0.01,100,EQ,NSE,NSE
5746689,22448,645GJ30-SG,0.01,100,EQ,NSE,NSE
467713,1827,645GJ30A-SG,0.01,100,EQ,NSE,NSE
3448833,13472,645GS2029-GS,0.01,1,EQ,NSE,NSE
214529,838,645HP29-SG,0.01,100,EQ,NSE,NSE
153345,599,645MH27-SG,0.01,100,EQ,NSE,NSE
5746945,22449,645ML30-SG,0.01,100,EQ,NSE,NSE
5709057,22301,645MN30-SG,0.01,100,EQ,NSE,NSE
530177,2071,645RJ27-SG,0.01,100,EQ,NSE,NSE
2020865,7894,645RJ27A-SG,0.01,100,EQ,NSE,NSE
218881,855,645RJ30-SG,0.01,100,EQ,NSE,NSE
251393,982,646GJ30-SG,0.01,100,EQ,NSE,NSE
5709569,22303,646JK30-SG,0.01,100,EQ,NSE,NSE
5719041,22340,646RJ30-SG,0.01,100,EQ,NSE,NSE
5747201,22450,646RJ30A-SG,0.01,100,EQ,NSE,NSE
5700865,22269,646WB30-SG,0.01,100,EQ,NSE,NSE
5484033,21422,647GJ30-SG,0.01,100,EQ,NSE,NSE
194091265,758169,647IRFC28-N0,0.01,1,EQ,NSE,NSE
276481,1080,647KA30-SG,0.01,100,EQ,NSE,NSE
197889,773,647MH28-SG,0.01,100,EQ,NSE,NSE
5356033,20922,648AP27-SG,0.01,100,EQ,NSE,NSE
5385985,21039,648AP32-SG,0.01,100,EQ,NSE,NSE
252161,985,648AS30-SG,0.01,100,EQ,NSE,NSE
194405377,759396,648GS2035-GS,0.01,1,EQ,NSE,NSE
5708545,22299,648HR40-SG,0.01,100,EQ,NSE,NSE
5717761,22335,648KA30-SG,0.01,100,EQ,NSE,NSE
220417,861,648KA31-SG,0.01,100,EQ,NSE,NSE
252929,988,648MZ30-SG,0.01,100,EQ,NSE,NSE
2129665,8319,648RJ27-SG,0.01,100,EQ,NSE,NSE
5699585,22264,649AP33-SG,0.01,100,EQ,NSE,NSE
349185,1364,649GJ29-SG,0.01,100,EQ,NSE,NSE
5475841,21390,649KA30-SG,0.01,100,EQ,NSE,NSE
296449,1158,649KA30A-SG,0.01,100,EQ,NSE,NSE
5718017,22336,649KA31-SG,0.01,100,EQ,NSE,NSE
5719809,22343,649MH31-SG,0.01,100,EQ,NSE,NSE
193978625,757729,649OR30-SG,0.01,100,EQ,NSE,NSE
5643009,22043,649RJ30-SG,0.01,100,EQ,NSE,NSE
5666817,22136,649TN50-SG,0.01,100,EQ,NSE,NSE
5699329,22263,649TS50-SG,0.01,100,EQ,NSE,NSE
348673,1362,64AP28-SG,0.01,100,EQ,NSE,NSE
5707777,22296,64GJ30-SG,0.01,100,EQ,NSE,NSE
216577,846,64GJ30A-SG,0.01,100,EQ,NSE,NSE
5699841,22265,64KA30-SG,0.01,100,EQ,NSE,NSE
5747713,22452,64KA30A-SG,0.01,100,EQ,NSE,NSE
215809,843,64KA30B-SG,0.01,100,EQ,NSE,NSE
248833,972,64KA30C-SG,0.01,100,EQ,NSE,NSE
5700097,22266,64KA31-SG,0.01,100,EQ,NSE,NSE
249089,973,64MH30-SG,0.01,100,EQ,NSE,NSE
193796865,757019,651GJ33-SG,0.01,100,EQ,NSE,NSE
215041,840,651HP30-SG,0.01,100,EQ,NSE,NSE
194049,758,651KA30-SG,0.01,100,EQ,NSE,NSE
422401,1650,651KA30B-SG,0.01,100,EQ,NSE,NSE
442113,1727,651KA30C-SG,0.01,100,EQ,NSE,NSE
5483265,21419,651KA31-SG,0.01,100,EQ,NSE,NSE
193742849,756808,651UP32-SG,0.01,100,EQ,NSE,NSE
389633,1522,652KA30-SG,0.01,100,EQ,NSE,NSE
316417,1236,652MH30-SG,0.01,100,EQ,NSE,NSE
5634305,22009,652ML30-SG,0.01,100,EQ,NSE,NSE
5618945,21949,652MP35-SG,0.01,100,EQ,NSE,NSE
5630209,21993,652NL30-SG,0.01,100,EQ,NSE,NSE
254465,994,652PY30-SG,0.01,100,EQ,NSE,NSE
194026753,757917,652RL28-N0,0.01,1,EQ,NSE,NSE
5709825,22304,652TS50-SG,0.01,100,EQ,NSE,NSE
1451777,5671,653CG28-SG,0.01,100,EQ,NSE,NSE
311041,1215,653HP29-SG,0.01,100,EQ,NSE,NSE
349441,1365,653KA30-SG,0.01,100,EQ,NSE,NSE
470785,1839,653TN31-SG,0.01,100,EQ,NSE,NSE
5356289,20923,654AP30-SG,0.01,100,EQ,NSE,NSE
296193,1157,654AR30-SG,0.01,100,EQ,NSE,NSE
5355777,20921,654GA30-SG,0.01,100,EQ,NSE,NSE
388097,1516,654GA30A-SG,0.01,100,EQ,NSE,NSE
5431297,21216,654GJ30-SG,0.01,100,EQ,NSE,NSE
2007809,7843,654GS2032-GS,0.01,1,EQ,NSE,NSE
371969,1453,654KA30-SG,0.01,100,EQ,NSE,NSE
2080257,8126,654MH27-SG,0.01,100,EQ,NSE,NSE
5614593,21932,654MH30-SG,0.01,100,EQ,NSE,NSE
5708033,22297,654MP35-SG,0.01,100,EQ,NSE,NSE
5647105,22059,654RJ30-SG,0.01,100,EQ,NSE,NSE
296961,1160,654RJ30A-SG,0.01,100,EQ,NSE,NSE
194487297,759716,654TN29-SG,0.01,100,EQ,NSE,NSE
193754369,756853,654TN31-SG,0.01,100,EQ,NSE,NSE
199425,779,654UP30-SG,0.01,100,EQ,NSE,NSE
5676289,22173,654WB35-SG,0.01,100,EQ,NSE,NSE
5516545,21549,655AP28-SG,0.01,100,EQ,NSE,NSE
221185,864,655AP33-SG,0.01,100,EQ,NSE,NSE
5707265,22294,655AP35-SG,0.01,100,EQ,NSE,NSE
